case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline_fastDeploy,50,4,-4.9693189907749253e-08,2.1076879871840618e-10,0.00066290360675070508,0.14954999999999999,0.14467476971692064,0.15455982835480306
baseline_fastDeploy,100,0.050000000000000003,3.1474667747364112e-10,4.5313465830750217e-10,0.053154594450269779,0.1351,0.13043257065631597,0.13990757725742914
baseline_fastDeploy,100,0.10000000000000001,-9.4619550364130335e-10,4.3983674792259814e-10,0.026568991998667409,0.14535000000000001,0.14053343509051708,0.15030277608407794
baseline_fastDeploy,100,0.25,-4.9274685921385488e-09,4.4226072719689483e-10,0.010616178616679503,0.14415,0.13935045072350027,0.14908622133762933
baseline_fastDeploy,100,0.5,-1.109654563044637e-08,4.201512510705165e-10,0.0053153541880997246,0.14804999999999999,0.14319556456517216,0.15303960961471982
baseline_fastDeploy,100,1,-2.5273559079766582e-08,4.2727869210707134e-10,0.0026596460197946346,0.15310000000000001,0.14817623577993372,0.15815699883579165
baseline_fastDeploy,100,2,-5.2091394534613579e-08,4.1902462189577841e-10,0.0013233556010212436,0.15229999999999999,0.14738709045590156,0.15734645141751355
baseline_fastDeploy,100,4,-1.0072817282145916e-07,4.207603095028252e-10,0.00066359330022746884,0.14849999999999999,0.14363930794674099,0.15349569340070054
baseline_fastDeploy,200,0.050000000000000003,5.9352185218192761e-10,8.6589448523924857e-10,0.053196730488713498,0.1404,0.13565437179736459,0.14528374053418583
baseline_fastDeploy,200,0.10000000000000001,-2.0112870686724686e-09,8.9173330931488915e-10,0.026574422830689857,0.14280000000000001,0.13801973091799494,0.14771745964048619
baseline_fastDeploy,200,0.25,-9.8770244154539383e-09,8.4021589939018979e-10,0.010608657997465323,0.14754999999999999,0.14270253472529032,0.15253283149065777
baseline_fastDeploy,200,0.5,-2.2629966974721017e-08,8.9153333641887385e-10,0.0053034652136527772,0.14935000000000001,0.14447753239187744,0.15435714249426874
baseline_fastDeploy,200,1,-4.7727786349974433e-08,8.8291133218942438e-10,0.0026562650109924731,0.14915,0.14428029812564713,0.15415445357492147
baseline_fastDeploy,200,2,-1.0074217901487198e-07,8.7471076432094072e-10,0.0013271226592266789,0.14465,0.13984334696032291,0.14959313306475064
baseline_fastDeploy,200,4,-2.0442368729072032e-07,8.3047499627767801e-10,0.00066282124990509582,0.15129999999999999,0.14640072602078669,0.15633319992474065
baseline_fastDeploy,400,0.050000000000000003,1.1548625679754367e-09,1.7564155813947454e-09,0.053184000856858961,0.14000000000000001,0.13526019125420971,0.14487807470618561
baseline_fastDeploy,400,0.10000000000000001,-3.8133585574940273e-09,1.7088422072237997e-09,0.026546244611578451,0.1457,0.14087849370280744,0.15065758304654828
baseline_fastDeploy,400,0.25,-1.8462524126451744e-08,1.7146814299096732e-09,0.010613736065159359,0.14845,0.14359000235537339,0.15344501819567374
baseline_fastDeploy,400,0.5,-4.2467652282154743e-08,1.7769956614465313e-09,0.0053149484257556528,0.14480000000000001,0.13999121971411346,0.14974520270014327
baseline_fastDeploy,400,1,-9.6888254471289405e-08,1.7279902687287372e-09,0.0026608808090189456,0.14974999999999999,0.14487201009572162,0.1547625111615796
baseline_fastDeploy,400,2,-2.059262907599721e-07,1.7134987439622362e-09,0.0013245423259116251,0.15015000000000001,0.14526649999446009,0.15516786763399629
baseline_fastDeploy,400,4,-3.9514326444497797e-07,1.7889858698756148e-09,0.00066499915807323928,0.14530000000000001,0.14048414179326138,0.15025208858493924
baseline_fastDeploy,600,0.050000000000000003,2.1312566059107486e-09,2.6475341206261228e-09,0.053265921131654945,0.13739999999999999,0.13269834312447831,0.14224092142340872
